#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
10278.T5.B9.5,FALSE,10278,temperate grassland biome,sphagnum bog,peat,-4.079565,53.141159,peat.timepoint5.bog.5cm.Control
14937.S00IE0411,FALSE,14937,urban biome,farmland soil,soil,-90.68742,38.8494,soil sample A3 253/254 90
14989.soil.ctrl.SHSU.2016.064.2016.09.07.day14,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.ctrl.SHSU.2016.064.2016.09.07.day14
11116.C26A62.1197826,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample A13D088
11116.L06A067.1194763,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L13A092
1521.MT1.s.6.1.sequences,FALSE,1521,forest biome,forest,soil,-114,46.8,soil sample MT1
14989.soil.hip.UTK.K016.09.2017.Jan.06.day1,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.09.2017.Jan.06.day1
10180.D5I,FALSE,10180,cropland biome,agricultural soil,soil,-48.4761,-22.3956,D5I Soil sample
755.SSFA.L2.D40.17.05.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.906,samples of sand from slow_sand filter water purification system
2104.CP21,FALSE,2104,urban biome,park,soil,-73.97337,40.76681,soil
2105.CP234.r,TRUE,2105,urban biome,park,soil,-73.96414,40.77795,CP234 soil sample from Central Park
10142.011.4.14.2013.Soil.RHip.SiteB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,011.4.14.2013.Soil.RHip.SiteB
1024.HE003.C181.HA.1.551.bulk.4.12.G1.L00,TRUE,1024,cropland biome,vineyard,soil,-72.53058,41.01025,Bulk_soil
10156.E1.5,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,70.649939,41.903967,wetland soil sample  E1.5
11116.I27A081.1194176,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A15B118
1579.F.4.30,TRUE,1579,tropical shrubland biome,volcano,soil,-155.793,20.099,soil elevation 833m
755.LSSF.BETA.D1.08.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with sterile sand: water purification system
10156.9,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,-76.6930361,42.7930861,wetland soil sample  9
990.KA1F.A.17,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841521,Block_1_Fertilized_station_A_position_17 KA1F.A.17
14989.soil.face.UTK.K016.02.2016.04.25.day13,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.face.UTK.K016.02.2016.04.25.day13
1521.EB075.s.6.1.sequences,FALSE,1521,shrubland biome,grassland soil,soil,36.14,-6.93,soil sample EB075
10082.v18.st2.r1,TRUE,10082,cropland biome,vineyard,Soil,-122.59469,38.62136,"soil sample from vineyard alley, at vineyard 18 site 2"
11116.C23A66.1195195,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample A25B082
14989.soil.ctrl.SHSU.2017.043.2017.12.16.day17,FALSE,14989,urban biome,research facility,soil,-95.476,30.745,11489.soil.ctrl.SHSU.2017.043.2017.12.16.day17
